transaction_id,transaction_amount,transaction_hour,distance_from_home_km,failed_auth_count_24h,is_fraud
1,32.69,14,1.98,0,0
2,24.01,9,10.86,0,0
3,27.3,21,23.37,0,0
4,13.36,15,1252.16,0,0
5,10.09,20,8.66,0,0
6,15.52,6,39.57,0,0
7,9.44,11,17.09,0,0
8,22.38,15,24.57,0,0
9,31.17,17,16.47,0,0
10,37.19,19,11.77,0,0
11,37.63,23,26.45,0,0
12,16.8,11,32.54,0,0
13,112.16,16,8.06,0,0
14,73.91,22,15.56,1,0
15,20.54,23,452.92,0,0
16,42.98,22,10.1,0,0
17,115.7,15,8.71,0,0
18,47.67,15,17.72,0,0
19,157.83,16,34.92,0,0
20,15.64,10,16.0,0,0
21,37.96,9,23.95,0,0
22,54.02,11,9.98,1,0
23,40.75,8,8.09,1,0
24,73.3,21,14.68,0,0
25,20.18,14,0.29,0,0
26,19.33,17,14.56,0,0
27,100.38,16,2.25,0,0
28,22.05,15,5.61,0,0
29,27.61,8,15.74,0,0
30,28.7,4,5.37,0,0
31,12.52,8,3.1,0,0
32,34.87,9,13.92,0,0
33,54.38,20,666.84,0,0
34,64.23,9,14.92,0,0
35,13.38,21,3.64,0,0
36,80.91,5,2.61,0,0
37,32.39,16,19.16,0,0
38,12.33,18,26.74,0,0
39,62.29,16,23.51,0,0
40,22.29,12,17.67,0,0
41,87.15,14,18.24,0,0
42,32.52,16,22.61,0,0
43,53.03,7,21.75,0,0
44,128.51,15,567.4,0,0
45,33.28,9,29.3,0,0
46,70.13,11,0.37,0,0
47,76.24,18,7.13,0,0
48,42.93,8,20.1,0,0
49,40.26,13,4.69,0,0
50,25.17,16,11.17,0,0
51,20.73,11,5.73,0,0
52,39.01,16,3.45,0,0
53,5.31,7,14.86,0,0
54,73.53,14,42.49,0,0
55,32.89,0,33.64,0,0
56,43.43,3,11.51,0,0
57,28.33,4,16.79,0,0
58,29.82,2,494.12,0,0
59,29.9,12,29.83,0,0
60,63.21,14,1.99,0,0
61,6.75,20,16.78,1,0
62,13.48,17,563.62,0,0
63,37.76,16,9.79,0,0
64,53.44,13,13.24,0,0
65,76.09,22,31.06,0,0
66,66.29,13,24.25,0,0
67,37.41,16,3.84,0,0
68,18.45,12,6.84,0,0
69,23.5,10,16.26,0,0
70,26.59,11,9.9,0,0
71,10.61,16,13.59,0,0
72,60.77,11,18.27,0,0
73,19.22,23,14.93,0,0
74,27.79,21,11.79,0,0
75,34.32,7,28.35,0,0
76,19.75,4,5.11,0,0
77,18.48,6,17.04,0,0
78,21.54,14,15.45,0,0
79,13.74,12,21.23,0,0
80,53.05,14,18.02,0,0
81,44.63,17,10.08,0,0
82,51.63,10,3.14,0,0
83,7.97,3,14.47,0,0
84,98.97,15,13.84,0,0
85,48.19,15,21.1,0,0
86,26.42,17,9.41,0,0
87,87.82,16,13.85,0,0
88,12.36,5,11.84,0,0
89,36.4,7,30.45,0,0
90,18.11,9,3.52,0,0
91,27.39,14,1.54,0,0
92,16.4,14,31.54,0,0
93,81.59,19,19.38,0,0
94,37.9,13,30.05,0,0
95,43.03,8,12.63,0,0
96,17.67,18,16.87,0,0
97,21.5,10,2.13,0,0
98,99.2,4,12.47,0,0
99,124.28,13,13.08,0,0
100,32.45,12,7.42,1,0
101,20.7,11,307.82,0,0
102,34.25,22,8.08,0,0
103,69.06,6,9.42,0,0
104,47.48,17,0.83,0,0
105,11.4,22,0.21,0,0
106,42.95,7,24.94,0,0
107,127.59,22,18.46,0,0
